gate,threshold,shift,selected_count_mean,selected_count_std,selected_rate_mean,selected_rate_std,overall_accuracy_mean,overall_accuracy_std,overall_macro_f1_mean,overall_macro_f1_std,surface_control_fne_mean,surface_control_fne_std,temporal_erased_fne_mean,temporal_erased_fne_std,sufficiency_control_fe_mean,sufficiency_control_fe_std,frame_location_mismatch_fe_mean,frame_location_mismatch_fe_std,frame_role_mismatch_fe_mean,frame_role_mismatch_fe_std,temporal_mismatch_fe_mean,temporal_mismatch_fe_std,predicate_mismatch_fe_mean,predicate_mismatch_fe_std,keeps_temporal_guard,keeps_predicate_guard,safe_sufficiency,safe_frame_location,safe_frame_role,passes_g1_gate
high_sufficiency,0.60,0.3,208.666667,27.574142,0.613725,0.081100,0.724074,0.070565,0.435754,0.125584,0.350000,0.482183,0.626667,0.353034,0.050000,0.086603,0.650000,0.522015,0.683333,0.505800,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.60,0.4,208.666667,27.574142,0.613725,0.081100,0.730864,0.090992,0.447462,0.131326,0.283333,0.399291,0.573333,0.353034,0.050000,0.086603,0.733333,0.419325,0.766667,0.361709,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0,134.333333,99.811489,0.395098,0.293563,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0.1,134.333333,99.811489,0.395098,0.293563,0.709259,0.061864,0.417893,0.124054,0.380000,0.495177,0.706667,0.399291,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0.2,134.333333,99.811489,0.395098,0.293563,0.716667,0.065105,0.425237,0.127167,0.370000,0.500899,0.676667,0.382797,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0.25,134.333333,99.811489,0.395098,0.293563,0.720988,0.068050,0.429751,0.129205,0.360000,0.499300,0.653333,0.370990,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0.3,134.333333,99.811489,0.395098,0.293563,0.724074,0.070565,0.434601,0.127560,0.356667,0.493592,0.630000,0.357631,0.050000,0.086603,0.633333,0.550757,0.683333,0.505800,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.70,0.4,134.333333,99.811489,0.395098,0.293563,0.735185,0.081901,0.445631,0.133144,0.336667,0.490951,0.580000,0.357631,0.050000,0.086603,0.666667,0.534634,0.683333,0.505800,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0,92.666667,96.671264,0.272549,0.284327,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0.1,92.666667,96.671264,0.272549,0.284327,0.707407,0.062553,0.415489,0.125507,0.380000,0.495177,0.716667,0.407226,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0.2,92.666667,96.671264,0.272549,0.284327,0.712963,0.064497,0.421083,0.127651,0.370000,0.500899,0.696667,0.395011,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0.25,92.666667,96.671264,0.272549,0.284327,0.717284,0.066932,0.425500,0.129831,0.363333,0.505008,0.676667,0.385530,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0.3,92.666667,96.671264,0.272549,0.284327,0.719753,0.068652,0.427833,0.131149,0.363333,0.505008,0.663333,0.380832,0.050000,0.086603,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_sufficiency,0.80,0.4,92.666667,96.671264,0.272549,0.284327,0.728395,0.074589,0.436473,0.134140,0.346667,0.508167,0.630000,0.375100,0.050000,0.086603,0.650000,0.563471,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
