threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,irrelevant_evidence,routed_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,routed_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,router_pairwise_success_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,router_pairwise_success_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,self_routed_balanced_pairwise_success_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,self_routed_balanced_pairwise_success_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,self_routed_classifier_pairwise_success_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,self_routed_classifier_pairwise_success_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,irrelevant_evidence,support_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,classifier_SUPPORT_count,0.6666666666666666,0.5773502691896257,3,0.667 +/- 0.577
0.3,conservative_balanced_router,location_swap,classifier_accuracy,0.9888888888888889,0.009622504486493792,3,0.989 +/- 0.010
0.3,conservative_balanced_router,location_swap,classifier_entitled_count,0.6666666666666666,0.5773502691896257,3,0.667 +/- 0.577
0.3,conservative_balanced_router,location_swap,classifier_macro_f1,0.3314659197012138,0.001617227644788862,3,0.331 +/- 0.002
0.3,conservative_balanced_router,location_swap,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,pairwise_applicable_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,location_swap,raw_classifier_pairwise_success_count,0.0,0.0,3,0.000 +/- 0.000
